,Date,User,Tweet
96,2023-03-06 13:26:32+00:00,marcelo17281859,"@NaranjaX Hola , quería saber en qué estado está mí reclamo."
99,2023-03-06 13:19:56+00:00,AleePurita,@NaranjaX @republicadoida @BAconsumidor Pasan los días y sigue todo igual.
104,2023-03-06 13:06:46+00:00,antiiikpp,@NaranjaX Ni siquiera el asistente virtual me responde
111,2023-03-06 13:02:49+00:00,profesaurio,"@NaranjaX  comienza nueva semana , arreglarán mi situación ??"
114,2023-03-06 12:58:48+00:00,mx_carp,@NaranjaX No puedo hacerlo por el whatsapp como habitualmente hago todas las consultas ?
118,2023-03-06 12:54:24+00:00,matimarcos,@NaranjaX Les acabo de escribir y me contesta un robot que no puede solucionarme el problema. Repito. Cómo me comunico con una persona.
119,2023-03-06 12:53:44+00:00,SebasMarinSoy,@NaranjaX Se libero uno y me volvió a atender el boot de mierda ese
126,2023-03-06 12:43:22+00:00,ZorritoDeFeo,"@chris_malagoli @ML_Ayuda Aún nada. Me putié con los de NaranjaX, pero los que tienen la guita son los de Mercado Pago, y no la acreditan"
129,2023-03-06 12:37:44+00:00,LCDSPOT,@NaranjaX @Santander_Ar no les da vergüenza tomarse 14 días para ver dónde está mi dinero? Eso sí... Un día que te atrasas ya te llaman cada 1 hr y me cobran intereses. @DNDConsumidor @BAconsumidor https://t.co/x8mpgqbVP1
133,2023-03-06 12:14:44+00:00,antiiikpp,"@NaranjaX nadie responde por privado, la app de naranja X no abre. Q está pasando???"
134,2023-03-06 12:10:30+00:00,fedemoglia,@NaranjaX Estoy esperando que me respondan el DM que les envíe el viernes. ¡Gracias!
135,2023-03-06 12:03:33+00:00,matimarcos,"@NaranjaX Me podrían indicar como comunicarme con una persona de tarjeta naranja, ya que telefónicamente no hay ninguna opción para hacerlo. Que pésimo servicio"
136,2023-03-06 11:45:39+00:00,SebasMarinSoy,@NaranjaX che pueden contestar un md
137,2023-03-06 11:40:01+00:00,ManuRiffoAdad,O me la empiezan a hacer fácil para pagarles está mierda o les prendo fuego el local. ULTIMO AVISO. @NaranjaX https://t.co/TbHzn4Mufn
138,2023-03-06 10:47:05+00:00,alev_valles,"@NaranjaX Desde ayer, al menos que yo sepa, veo esto en la app... hay que pagar y no puedo operar https://t.co/BZCHfHIR4F"
139,2023-03-06 10:42:05+00:00,loladocta,@NaranjaX Se puede pagar desde un cajero automático?? Ya que la página no funciona y NO PIENSO bajar la app ya que todos los usuarios se quejan de lo mal que anda
140,2023-03-06 04:37:05+00:00,mx_carp,"@NaranjaX Consulta: Voy a estar un día en Uruguay, para usar mi tarjeta de crédito Visa Internacional tengo que habilitar algo extra o puedo usarla sin problemas ?"
141,2023-03-06 01:50:07+00:00,enriqueomiranda,@Hombre__Manzana Y con fondos como mercado pago? Ualá naranjax que en su composición tienen pf además de caución pases es lo mismo ?
142,2023-03-06 01:44:57+00:00,Clau_sias,@NaranjaX @luisfer14479067 @lucasdiaztw @soynaranjax Se puede comprar dólares en la app?
143,2023-03-05 23:07:17+00:00,ZorritoDeFeo,@MP_ayuda hice una transferencia desde NaranjaX a MP y no llega. Que pasa? Lo necesito urgente.
144,2023-03-05 22:43:24+00:00,Clau_sias,@NaranjaX @soynaranjax Descargue la app la semana pasada y aún está en proceso mi alias que sucede ?
145,2023-03-05 22:20:47+00:00,loladocta,@NaranjaX  que pasa con la página? No se puede pagar el resumen
146,2023-03-05 19:53:55+00:00,marinerohecho,"@profesaurio @NaranjaX no me cuentes que ayer por medio de banco, pagué 75 lucas....para liberarla y todavía nada..."
147,2023-03-05 19:49:05+00:00,KeendyLove,@NaranjaX Hola. Me podrían ayudar ? Llamo al número de atención al cliente y no me comunica
148,2023-03-05 19:47:06+00:00,KeendyLove,@NaranjaX Hola. Tengo un problema y no me permite llamar
149,2023-03-05 19:43:29+00:00,Aiorias26,@NaranjaX Y ahora me cobran intereses por mora. Son un chiste. Ahora la culpa es mía por no pagar a tiempo @DNDConsumidor @MindefArg
150,2023-03-05 19:41:03+00:00,Aiorias26,"@NaranjaX El mes pasado fui a pagar ala sucursal de Bariloche, tres horas haciendo fila y no pude pagar, hay un solo cajero, fui a la noche y no recibía efectivo activo porque estaba lleno el cajero. Fui el domingo y tampoco funcionaba, lunes y martes cerrado. Pagué el miércoles"
151,2023-03-05 18:21:52+00:00,sh00tf0rthemoon,Hola @NaranjaX no puedo pagar mi resumen de cuenta desde su inútil app. No puedo ir presencial porque no estoy en mi ciudad . Una solución YA . https://t.co/Wo7fr7NRkr
152,2023-03-05 18:13:47+00:00,profesaurio,@marinerohecho @NaranjaX No ! Ya hoy 8 días
153,2023-03-05 18:13:31+00:00,profesaurio,@NaranjaX y una semana de la inoperancia !!! No la usen ni no quieren tener una úlcera https://t.co/kgN7HmBpWq
154,2023-03-05 18:12:43+00:00,profesaurio,@marinerohecho Gracias por solidarizarte con mi reclamo a @NaranjaX  son de lo peor
155,2023-03-05 18:00:04+00:00,AggLz02,"@NaranjaX Por favorrr, hace semanas no puedo entrar a la app"
156,2023-03-05 17:14:09+00:00,FedericoLabaque,#estafa @NaranjaX https://t.co/bzbkIBvlrh
157,2023-03-05 16:19:34+00:00,Alejandrachd,@NaranjaX estoy podrida de su pagina de 💩. Después lo clientes se quieren dan dar baja y preguntan por qué y empiezan a rogar. Comiencen por ofrecer un buen servicio. Todos los meses que quiero pagar el resumen es el mismo cuento. H a r t a
158,2023-03-05 15:52:59+00:00,fagervan,"@NaranjaX  la app trató de validar mi identidad 218 veces y siempre dice lo mismo, ""Hubo un problema al sacar tus fotos"". No hay otra forma?"
159,2023-03-05 15:35:52+00:00,GeorgiGaveglio,@NaranjaX Arreglen su app no funciona NUNCA cuando hay w pagar. U a caca
160,2023-03-05 15:31:21+00:00,GeorgiGaveglio,No anda su app 🫠 nunca anda !!! @naranjaX https://t.co/L1PqqCGwKA
161,2023-03-05 15:28:27+00:00,GeorgiGaveglio,pagar cada vez la @NaranjaX es un trastorno.
162,2023-03-05 15:17:05+00:00,Luisdgf_10,@NaranjaX necesito pagar mis responsabilidades y no abre la puta aplicación 😡😡
163,2023-03-05 14:39:04+00:00,marinerohecho,"@The1nonlyTeko @NaranjaX sí! encima si rompés mucho los cocos por tw, te bloquean, como a mí"
164,2023-03-05 14:35:01+00:00,The1nonlyTeko,"Consulta a los usuarios de @NaranjaX: este tipo de caída de sistema y la falta de atención al cliente, es frecuente?"
165,2023-03-05 14:34:35+00:00,smutsipou,"@NaranjaX para que ponen un 0810 y hablar con un operador si no atiende nadie ,y por acá solo un bot?
necesito hacer una consulta importante!"
166,2023-03-05 13:16:56+00:00,faustoluv,"@NaranjaX buen día, están atendiendo por acá hoy?"
167,2023-03-05 12:59:32+00:00,___chhina,Que raro NARANJAX siempre funcionando tan para el orto.
168,2023-03-05 12:59:11+00:00,mdevicky,"Hola @NaranjaX, será que alguna vez va a volver a funcionar la página?. Encima contestan pero no resuelven el problema."
169,2023-03-05 12:41:40+00:00,lau4561mdq,@NaranjaX 3 con recargo. Bah lo típico de los comercio que te aplican 15  o 20 si pagas con plástico. Si es con plata no pasa  nada. Yo entiendo si tarjetean tienen que declarar..con plata sale en negro.
170,2023-03-05 12:39:16+00:00,lau4561mdq,@NaranjaX Hola. Mis disponibles los se. Lo único malo es que autorizan a partir de 4 cuatro 4 cuotas y el comercio solo hace 3. 😂   No se hagan problema. Ya lo comprare con otro plástico.
171,2023-03-05 11:34:41+00:00,Herejita,"@cristinabrocal2 @NaranjaX Evita usar app que te pidan esas cosas no tienen porque hacerlo ,  busca otras opciones"
172,2023-03-05 11:00:20+00:00,JorgeCarrilloS,@NaranjaX Ojalá puedan aumentar el límite de dinero ya que solamente son hasta 200.000.
173,2023-03-05 07:24:45+00:00,juan31037,@NaranjaX Sacas tu plata y miren lo que te cobran 67 servicio digital más 320 total casi 400 pesos o sea salís perdiendo por más que te den rendimiento diario una mierda no te dejan sacar más de 10 mil de tu propia plata estafa? https://t.co/UQojnFoc26
174,2023-03-05 03:00:35+00:00,carlos66257681,@NaranjaX yy???? https://t.co/ln1PcxtVTA
175,2023-03-05 02:05:47+00:00,MP_Respondeee,"@NaranjaX Hace varias semanas pedí que me mandarán la tarjeta y todavía no llega. Pero la app muestra otra dirección y marca ""entregada."" Ya contacte a soporte por Whatsapp, teléfono y otros medios. Su app no funciona."
176,2023-03-05 01:10:14+00:00,ceroequis,@DraGiseRimolo @Luisitoreca Me pasaba con NaranjaX cuando tenía CVU y ni desde el cajero podía hacerlo. Luego NX pasó a tener CBU y ahora sí se puede.
177,2023-03-05 00:54:35+00:00,sabiros5,@NaranjaX Quise hacer compras y sale denegada. El resumen de febrero está pago. Y cuando llamo pongo los Núm d la tarjeta y no m las reconoce
178,2023-03-05 00:20:58+00:00,RicardoAYague,¿Cuál es el rendimiento de las billeteras virtuales? @NaranjaX  cabeza a cabeza con @uala_arg https://t.co/4YLQUKSwsL
179,2023-03-04 22:58:13+00:00,carlos66257681,@NaranjaX @lk1lk3 https://t.co/1uVNgyWtKA
180,2023-03-04 22:31:00+00:00,Verajorge18,@NaranjaX A la fecha no me deja entrar a la app ni a la pagina oficial de naranja
181,2023-03-04 22:30:33+00:00,Verajorge18,"@NaranjaX Instalé de nuevo la app y no me deja entrar. Genero de nuevo la clave y una sola vez me dejó entrar, después de mucho tiempo, aproveché a transferir mis ahorros, gracias a dios!"
182,2023-03-04 22:29:08+00:00,Verajorge18,"@NaranjaX Borre cache, borré datos de la app, no me deja entrar a la app"
183,2023-03-04 22:28:33+00:00,Verajorge18,@NaranjaX Ya las escribí.. y ni me responden
184,2023-03-04 21:50:38+00:00,aguila2317,@NaranjaX @Santander_Ar NO TE DA LAS PROMOS QUE DICE QUE DAN ENLOSUPERMERCDOS SOLO LA TJ NARANJA TE DA BENEFICIOS EL SANTANDER A LA CUENTA DE JUBILADOS SOLO LOS CAGA BIEN CAGADOS LOS BENEFICIOS ES SOLO CON COMODINES OTRO VERSO DE SANTANDER SON UNICOS TODO ES CHCHARA BARATA PUBLI. https://t.co/kgCQXaVdG0
185,2023-03-04 21:33:52+00:00,NorbertoGervas1,"@Reidgirl2 @NaranjaX Sisi, ya me apareció, 3 seguidores tenia, obvio que block"
186,2023-03-04 20:40:47+00:00,marinerohecho,@profesaurio @NaranjaX Se solucionó???ni pelota los fines....
187,2023-03-04 20:39:22+00:00,profesaurio,@marinerohecho Gracias por solidarizarte con mi reclamo a @NaranjaX  son de lo peor
188,2023-03-04 20:18:01+00:00,belenperezok12,@NaranjaX una porquería como funciona.
189,2023-03-04 19:41:53+00:00,loa_ramirez,Menos mal que tengo $300 en la naranjaX JAJAJAJAJA
190,2023-03-04 19:40:52+00:00,Cleverfour1,"@NaranjaX Nadie te atiende, muchachos, no hagan gastos en Naranja en estees, se viene el corralito!"
191,2023-03-04 19:21:59+00:00,Reidgirl2,"@NorbertoGervas1 @NaranjaX Guarda que la última vez que una cuenta de Twitter que decía ser tarjeta naranja me habló me terminaron robando 20 mil pesos, fíjate que sea una cuenta verificada"
192,2023-03-04 19:21:12+00:00,Reidgirl2,"@SebasMarinSoy @NaranjaX Guarda que la última vez que una cuenta de Twitter que decía ser tarjeta naranja me habló me terminaron robando 20 mil pesos, fíjate que sea una cuenta verificada"
193,2023-03-04 19:15:08+00:00,CrisFulanitoOK,@NaranjaX Ya les hable y no me respondieron.
194,2023-03-04 19:13:28+00:00,DaminExequiel,@NaranjaX Hola! Necesito q me ayuden los puedo contactar x mensaje?
195,2023-03-04 19:08:51+00:00,Reidgirl2,@NaranjaX che yo entiendo que Einstein se tomará sus tiempos pero hace una semana que están así...cuando va a andar? Necesito la plata que hay ahí https://t.co/jM2rHVfz93
196,2023-03-04 19:06:26+00:00,Reidgirl2,@enzogr86 @NaranjaX Uuuh a mí no me anda desde el miércoles creo
197,2023-03-04 19:04:46+00:00,mariogorrieri,"@NaranjaX Buenas
Pregunto..tengo unos dolares en la cuenta de Naranja X y no los puedo transferir a mi banco tradicional ..intente diferentes días a diferentes horas..la duda es si hay q hacer un paso previo para lograrlo?"
198,2023-03-04 18:24:00+00:00,enzogr86,"@NaranjaX desde ayer no funciona la app, dejen de rascarse y den soluciones"
199,2023-03-04 17:49:58+00:00,marinerohecho,"@Nannie_x @NaranjaX estoy bloqueada...nunca visto que una empresa bloquee al usuario...vas al chat, no atienden....por teléfono, el disco te repite mil veces lo mismo y nunca llegás al operador....tarjeta de mierda"
200,2023-03-04 17:42:47+00:00,profesaurio,@NaranjaX  siguen sin solucionarme la aplicación https://t.co/eUTPRz6SeI
201,2023-03-04 17:40:46+00:00,enzogr86,@NaranjaX desde ayer no puedo ingresar a la app
202,2023-03-04 17:35:18+00:00,Cleverfour1,@NaranjaX Que pasa que entro a la pagina de naranja x y no aparece la opcion de pago?
203,2023-03-04 17:28:06+00:00,zrocioluna12,@NaranjaX realice mal una recarga de mi cuenta naranja x a un número de celular no correcto me pueden ayudar
208,2023-03-04 17:06:33+00:00,Franco_Diaz_T,"@NaranjaX De una, ya les escribí hace un rato. Aguardo la respuesta porfa"
211,2023-03-04 17:02:31+00:00,FrancodfOk,@NaranjaX no me responden via md
212,2023-03-04 17:02:28+00:00,FrancodfOk,@NaranjaX no me responden via md
213,2023-03-04 17:01:43+00:00,riverapatagonia,#naranjax están atendiendo?.. creo que la calidad de atención cambio mucho..para peor
214,2023-03-04 16:58:51+00:00,sahidjorge,"@NaranjaX @DNDConsumidor Fui a sacar el resumen para mí madre que es jubilada y me dijeron que ""le saque foto a la pantalla, que por disposición (uniilateral) de naranja, no se entregan más resúmenes, incumpliendo claramente la ley de defensa del consumidor"
223,2023-03-04 16:28:27+00:00,juan31037,@NaranjaX No te deja sacar más de 10 mil pesos y miren cuánto te saca por cada operación más de lo qué ellos te dan esto es una estafa https://t.co/h7gqrR1hfs
224,2023-03-04 16:23:04+00:00,juan31037,@NaranjaX Que sentido tiene poner tu plata si te dan ingresos pasivos pero cuando sacas plata del cajero te sacan más de 400 pesos o sea perdés más de lo que te dan
225,2023-03-04 16:20:08+00:00,juan31037,@NaranjaX No tienen atención al cliente personalizada o sea que si se rajan es como una empresa fantasma
226,2023-03-04 16:18:54+00:00,carlos66257681,@NaranjaX  devuélvanme el dinero ya paso una semana que deposite en la app y nunca se reflejo. ya hable con el soporte y no hay una respuesta
227,2023-03-04 15:46:03+00:00,SebasMarinSoy,@NaranjaX hola les envié un dm
228,2023-03-04 15:46:01+00:00,ines_maria4,"@NaranjaX una vergüenza desde ayer que intento comunicarme para poder solucionar un problema que tiene SU sistema y pagar la factura... El servicio de atención malísimo, provocan que haya que ir como en la prehistoria personalmente a pagar"
232,2023-03-04 15:33:37+00:00,enzitobrc,"Lección del día: No sacar plata con la tarjeta de @NaranjaX porque te fajan $400 por cada transacción, incluso usando sus cajeros qué hay en las oficinas #Ladris"
234,2023-03-04 15:30:51+00:00,unaymilnoches,@NaranjaX Che arreglen la app y la pagina no puede ser tan desastroso el desarrollista q tienennn no se puede ver ni pagar unifiquen en la app que tampoco anda xq no mandan el mail
235,2023-03-04 15:30:19+00:00,FacuNun,"@NaranjaX Yo todo el mes
La aplicación no funciona
La aplicación no funciona
La aplicación no funciona

Entro a ver mi resumen:
Ah no cierto que la app no funciona"
237,2023-03-04 15:28:51+00:00,FacuNun,"Como exactamente puedo activar o ver el resumen de @NaranjaX si la app no funciona? Digo porque ya va a ser un mes que intento y sigue sin funcionar muchachos, parece siuguarani como me boludean y yo solo quiero entrar a ver como pago lo único que pude comprar con la tarjeta"
238,2023-03-04 15:24:32+00:00,fhcostantini,@NaranjaX test
240,2023-03-04 15:20:35+00:00,AdribaciTana,"@jonybuzz @kein_salat @gordolfis_ @NaranjaX Los leo y aunque me siento joven, me doy cuenta lo grande q estoy 🤣🤣🤣. Entiendo perfectamente lo del sueldo, y esta bien q arriesgues y hagas valer tu laburo. De las tareas q hacen es un ""Chino""😵‍💫"
241,2023-03-04 15:04:21+00:00,diazjorgelina,@NaranjaX contesten los mensajes!inoperantes
242,2023-03-04 14:51:56+00:00,CrisFulanitoOK,@NaranjaX hace DOS DÍAS hice dos cargas a la Red Bus y todavía no impacto???? NECESITO VIAJAR PARA IR A TRABAJAR!!! DÓNDE ESTÁ LA PLATA!!! https://t.co/PoU7lrnzD5
243,2023-03-04 14:47:49+00:00,Franco_Diaz_T,@NaranjaX qué pasa con la app que desde ayer no me deja ingresar? https://t.co/pQdfhXo2Qx
244,2023-03-04 14:40:27+00:00,Miikee73,@NaranjaX Para disimular que soy pobre 🙃
245,2023-03-04 13:57:40+00:00,jcarlosponce3,@NaranjaX Donde puedo quejarme porque ya pasó más de tres años y no pueden validar mi identidad de mi cuenta de naranjax.
246,2023-03-04 13:55:02+00:00,Nielsentorrealb,@NaranjaX increíble necesitas ayuda de una persona de naranja y no hay nadie disponible los findes te atiende una maquinita de mierda que es bastante bruta además
247,2023-03-04 13:45:13+00:00,Rosa49793102,"@NaranjaX @Pablo67564161 En este número me dice que tengo la tarjeta bloqueada ,se dio por un intento real de estafas"
248,2023-03-04 13:20:09+00:00,profesaurio,La peor aplicación @NaranjaX  una semana así https://t.co/2mQEM2m2NY
249,2023-03-04 13:15:19+00:00,Bragaluisr,"📈Las mejores tasas de Interés del Mercado
TNA - Viernes 03/03/2023

En Dólares:
💸 Plazo Fijos a 30 días 0,50%
💸 Caución a 7 días 0,40%

En Pesos:
💸 Plazo Fijos a 30 días 75,00%
💸 Caución a 7 días 62,00%

Wallet:
💸 NaranjaX: 65,00%
💸 Mercado Pago: 64,10%
💸 Ualá: 62,89%"
250,2023-03-04 12:39:41+00:00,ananoduerme,@NaranjaX Necesito un humano al dm por favor
251,2023-03-04 11:39:58+00:00,ManuRiffoAdad,O me la empiezan a hacer más fácil para pagarles o les prendo fuego el local más cercano. Segundo aviso. @NaranjaX https://t.co/rvMq10s5PV
252,2023-03-04 11:33:20+00:00,homelanderArg,@NaranjaX la peor tarjeta del mundo. https://t.co/f9qxJAz9tc
253,2023-03-04 10:23:22+00:00,lporimario,"@NaranjaX hice una compra de electrodoméstico en 3 cuotas y me vino en un solo pago con los intereses y recargos como si lo hubiera sacado en esas cuotas. 
Pague el mes x adelantado y ahora ni siquiera tengo el resumen por app.
Me pueden explicar de que manera trabajan ustedes⁉️"
254,2023-03-04 03:43:35+00:00,sahidjorge,"@NaranjaX @DNDConsumidor Uds no tienen el derecho de cambiar la forma de entrega del resumen unilateralmente, les pido que entreguen el resumen en formato papel, hablan de cuidar el medio ambiente y entregan tarjetas de plástico con vencimiento, creo que el plástico es más contaminante que el papel"
255,2023-03-04 02:22:25+00:00,profesaurio,Yo con @NaranjaX
256,2023-03-04 02:21:47+00:00,profesaurio,"Qué pasa con las aplicaciones ? @NaranjaX  una porquería @osde se tilda , @prensabna  no funciona !!!"
257,2023-03-04 01:52:12+00:00,Verajorge18,"@naranjax no puedo entrar a la aplicación en toda la tarde y noche de este viernes, alguna solución? https://t.co/3mlPqdj6TT"
258,2023-03-04 01:41:04+00:00,Aqui_Vaneh,@NaranjaX qué onda que hace 2 días la app no funciona por mantenimiento? Digo...
259,2023-03-04 01:33:52+00:00,sabiros5,"@NaranjaX En vez de promocionar tarjetas, pongan atención al cliente!! Cansada d la máquina q me atiende!! 2 semanas sin usar la tarjeta y ustedes q non me dan rta Porq no hay medio para comunicarme"
260,2023-03-04 01:24:33+00:00,Acortez042,"@NaranjaX me quieren explicar cómo hago yo? Para pagar Netflix,Spotify, YouTube? Etc si uds no fueron capaz de renovar mis tarjetas a tiempo? Tengo las cuentas suspendidas 😡😡"
261,2023-03-04 01:14:41+00:00,jonybuzz,@kein_salat @gordolfis_ En @NaranjaX están buscando y es muy piola 🤷🏻
262,2023-03-04 00:33:11+00:00,profesaurio,"@NaranjaX  inoperantes , inútiles , pésima atención al cliente"
263,2023-03-03 23:19:06+00:00,EferroMTBway,@NaranjaX Para las deudas 🤣🤣🤣
264,2023-03-03 22:55:06+00:00,NorbertoGervas1,"@Nannie_x @NaranjaX Me pasa exactamente lo mismo, encima no falta la cuenta trucha que te quiere cagar."
265,2023-03-03 22:54:34+00:00,LicRdq,"@NaranjaX Estoy tratando de comunicarme con ustedes y entre tantos mensajes recibí una llamada de Córdoba de tarjeta naranja, casi entro en el juego porque ustedes no dan solución. La voy a dar de baja a esta tarjeta están complicando al cliente"
266,2023-03-03 22:54:07+00:00,LuDsteva,Será mucho pedir que @NaranjaX le funcione una vez el único teléfono al que se puede pedir el resumen de tarjeta?? Porque en la app no se puede ver
277,2023-03-03 22:23:12+00:00,monitahorda,"@NaranjaX En vez de pelotudear, xq no atienden a la gente, x dm?????"
